sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Run	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S008-109	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-109_S13_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-109_S13_L001_R2_001.fastq.gz	LK16S008-109	LKITS005-109	LK16S008_plate2	P3	3.F06.2	Full	Full-06	F-06	Full	6 hr	6	Untreated
LK16S008-110	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-110_S14_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-110_S14_L001_R2_001.fastq.gz	LK16S008-110	LKITS005-110	LK16S008_plate2	P3	3.F06p.2	Fullp	Full-06-PMAxx	F-06	Full	6 hr	6	PMAxx
LK16S008-111	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-111_S15_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-111_S15_L001_R2_001.fastq.gz	LK16S008-111	LKITS005-111	LK16S008_plate2	P3	3.W24.2	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S008-112	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-112_S16_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-112_S16_L001_R2_001.fastq.gz	LK16S008-112	LKITS005-112	LK16S008_plate2	P3	3.W24p.2	Waterp	Water-24-PMAxx	W-24	Water	24 hr	24	PMAxx
LK16S008-113	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-113_S17_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-113_S17_L001_R2_001.fastq.gz	LK16S008-113	LKITS005-113	LK16S008_plate2	P2	2.F48.3	Full	Full-48	F-48	Full	48 hr	48	Untreated
LK16S008-114	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-114_S18_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-114_S18_L001_R2_001.fastq.gz	LK16S008-114	LKITS005-114	LK16S008_plate2	P2	2.F48p.3	Fullp	Full-48-PMAxx	F-48	Full	48 hr	48	PMAxx
LK16S008-115	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-115_S19_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-115_S19_L001_R2_001.fastq.gz	LK16S008-115	LKITS005-115	LK16S008_plate2	P3	3.C0.3	CHG	CHG-0	C-0	CHG	Post Tx	0	Untreated
LK16S008-116	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-116_S20_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-116_S20_L001_R2_001.fastq.gz	LK16S008-116	LKITS005-116	LK16S008_plate2	P3	3.C0p.3	CHGp	CHG-0-PMAxx	C-0	CHG	Post Tx	0	PMAxx
LK16S008-117	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-117_S21_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-117_S21_L001_R2_001.fastq.gz	LK16S008-117	LKITS005-117	LK16S008_plate2	P3	3.F06.3	Full	Full-06	F-06	Full	6 hr	6	Untreated
LK16S008-118	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-118_S22_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-118_S22_L001_R2_001.fastq.gz	LK16S008-118	LKITS005-118	LK16S008_plate2	P3	3.F06p.3	Fullp	Full-06-PMAxx	F-06	Full	6 hr	6	PMAxx
LK16S008-119	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-119_S23_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-119_S23_L001_R2_001.fastq.gz	LK16S008-119	LKITS005-119	LK16S008_plate2	P3	3.W24.3	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S008-120	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-120_S24_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-120_S24_L001_R2_001.fastq.gz	LK16S008-120	LKITS005-120	LK16S008_plate2	P3	3.W24p.3	Waterp	Water-24-PMAxx	W-24	Water	24 hr	24	PMAxx
LK16S008-121	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-121_S25_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-121_S25_L001_R2_001.fastq.gz	LK16S008-121	LKITS005-121	LK16S008_plate2	P3	3.WB.1	Water	Water-B	W-B	Water	Baseline	-12	Untreated
LK16S008-122	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-122_S26_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-122_S26_L001_R2_001.fastq.gz	LK16S008-122	LKITS005-122	LK16S008_plate2	P3	3.WBp.1	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S008-123	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-123_S27_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-123_S27_L001_R2_001.fastq.gz	LK16S008-123	LKITS005-123	LK16S008_plate2	P3	3.F0.1	Full	Full-0	F-0	Full	Post Tx	0	Untreated
LK16S008-124	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-124_S28_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-124_S28_L001_R2_001.fastq.gz	LK16S008-124	LKITS005-124	LK16S008_plate2	P3	3.F0p.1	Fullp	Full-0-PMAxx	F-0	Full	Post Tx	0	PMAxx
LK16S008-125	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-125_S29_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-125_S29_L001_R2_001.fastq.gz	LK16S008-125	LKITS005-125	LK16S008_plate2	P3	3.W12.1	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S008-126	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-126_S30_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-126_S30_L001_R2_001.fastq.gz	LK16S008-126	LKITS005-126	LK16S008_plate2	P3	3.W12p.1	Waterp	Water-12-PMAxx	W-12	Water	12 hr	12	PMAxx
LK16S008-127	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-127_S31_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-127_S31_L001_R2_001.fastq.gz	LK16S008-127	LKITS005-127	LK16S008_plate2	P3	3.C24.1	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S008-128	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-128_S32_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-128_S32_L001_R2_001.fastq.gz	LK16S008-128	LKITS005-128	LK16S008_plate2	P3	3.C24p.1	CHGp	CHG-24-PMAxx	C-24	CHG	24 hr	24	PMAxx
LK16S008-129	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-129_S33_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-129_S33_L001_R2_001.fastq.gz	LK16S008-129	LKITS005-129	LK16S008_plate2	P3	3.WB.2	Water	Water-B	W-B	Water	Baseline	-12	Untreated
LK16S008-130	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-130_S34_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-130_S34_L001_R2_001.fastq.gz	LK16S008-130	LKITS005-130	LK16S008_plate2	P3	3.WBp.2	Waterp	Water-B-PMAxx	W-B	Water	Baseline	-12	PMAxx
LK16S008-131	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-131_S35_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-131_S35_L001_R2_001.fastq.gz	LK16S008-131	LKITS005-131	LK16S008_plate2	P3	3.F0.2	Full	Full-0	F-0	Full	Post Tx	0	Untreated
LK16S008-132	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-132_S36_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-132_S36_L001_R2_001.fastq.gz	LK16S008-132	LKITS005-132	LK16S008_plate2	P3	3.F0p.2	Fullp	Full-0-PMAxx	F-0	Full	Post Tx	0	PMAxx
LK16S008-133	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-133_S37_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-133_S37_L001_R2_001.fastq.gz	LK16S008-133	LKITS005-133	LK16S008_plate2	P3	3.W12.2	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S008-134	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-134_S38_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-134_S38_L001_R2_001.fastq.gz	LK16S008-134	LKITS005-134	LK16S008_plate2	P3	3.W12p.2	Waterp	Water-12-PMAxx	W-12	Water	12 hr	12	PMAxx
LK16S008-135	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-135_S39_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-135_S39_L001_R2_001.fastq.gz	LK16S008-135	LKITS005-135	LK16S008_plate2	P3	3.C24.2	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S008-136	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-136_S40_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-136_S40_L001_R2_001.fastq.gz	LK16S008-136	LKITS005-136	LK16S008_plate2	P3	3.C24p.2	CHGp	CHG-24-PMAxx	C-24	CHG	24 hr	24	PMAxx
LK16S008-137	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-137_S41_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-137_S41_L001_R2_001.fastq.gz	LK16S008-137	LKITS005-137	LK16S008_plate2	P3	3.CB.1	CHG	CHG-B	C-B	CHG	Baseline	-12	Untreated
LK16S008-138	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-138_S42_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-138_S42_L001_R2_001.fastq.gz	LK16S008-138	LKITS005-138	LK16S008_plate2	P3	3.CBp.1	CHGp	CHG-B-PMAxx	C-B	CHG	Baseline	-12	PMAxx
LK16S008-139	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-139_S43_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-139_S43_L001_R2_001.fastq.gz	LK16S008-139	LKITS005-139	LK16S008_plate2	P3	3.F0.3	Full	Full-0	F-0	Full	Post Tx	0	Untreated
LK16S008-140	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-140_S44_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-140_S44_L001_R2_001.fastq.gz	LK16S008-140	LKITS005-140	LK16S008_plate2	P3	3.F0p.3	Fullp	Full-0-PMAxx	F-0	Full	Post Tx	0	PMAxx
LK16S008-141	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-141_S45_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-141_S45_L001_R2_001.fastq.gz	LK16S008-141	LKITS005-141	LK16S008_plate2	P3	3.W12.3	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S008-142	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-142_S46_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-142_S46_L001_R2_001.fastq.gz	LK16S008-142	LKITS005-142	LK16S008_plate2	P3	3.W12p.3	Waterp	Water-12-PMAxx	W-12	Water	12 hr	12	PMAxx
LK16S008-143	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-143_S47_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-143_S47_L001_R2_001.fastq.gz	LK16S008-143	LKITS005-143	LK16S008_plate2	P3	3.C24.3	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S008-144	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-144_S48_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-144_S48_L001_R2_001.fastq.gz	LK16S008-144	LKITS005-144	LK16S008_plate2	P3	3.C24p.3	CHGp	CHG-24-PMAxx	C-24	CHG	24 hr	24	PMAxx
LK16S008-145	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-145_S49_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-145_S49_L001_R2_001.fastq.gz	LK16S008-145	LKITS005-145	LK16S008_plate2	P3	3.CB.2	CHG	CHG-B	C-B	CHG	Baseline	-12	Untreated
LK16S008-146	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-146_S50_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-146_S50_L001_R2_001.fastq.gz	LK16S008-146	LKITS005-146	LK16S008_plate2	P3	3.CBp.2	CHGp	CHG-B-PMAxx	C-B	CHG	Baseline	-12	PMAxx
LK16S008-147	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-147_S51_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-147_S51_L001_R2_001.fastq.gz	LK16S008-147	LKITS005-147	LK16S008_plate2	P3	3.W06.1	Water	Water-06	W-06	Water	6 hr	6	Untreated
LK16S008-148	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-148_S52_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-148_S52_L001_R2_001.fastq.gz	LK16S008-148	LKITS005-148	LK16S008_plate2	P3	3.W06p.1	Waterp	Water-06-PMAxx	W-06	Water	6 hr	6	PMAxx
LK16S008-149	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-149_S53_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-149_S53_L001_R2_001.fastq.gz	LK16S008-149	LKITS005-149	LK16S008_plate2	P3	3.C12.1	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S008-150	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-150_S54_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-150_S54_L001_R2_001.fastq.gz	LK16S008-150	LKITS005-150	LK16S008_plate2	P3	3.C12p.1	CHGp	CHG-12-PMAxx	C-12	CHG	12 hr	12	PMAxx
LK16S008-151	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-151_S55_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-151_S55_L001_R2_001.fastq.gz	LK16S008-151	LKITS005-151	LK16S008_plate2	P3	3.F24.1	Full	Full-24	F-24	Full	24 hr	24	Untreated
LK16S008-152	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-152_S56_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-152_S56_L001_R2_001.fastq.gz	LK16S008-152	LKITS005-152	LK16S008_plate2	P3	3.F24p.1	Fullp	Full-24-PMAxx	F-24	Full	24 hr	24	PMAxx
LK16S008-153	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-153_S57_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-153_S57_L001_R2_001.fastq.gz	LK16S008-153	LKITS005-153	LK16S008_plate2	P3	3.FB.1	Full	Full-B	F-B	Full	Baseline	-12	Untreated
LK16S008-154	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-154_S58_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-154_S58_L001_R2_001.fastq.gz	LK16S008-154	LKITS005-154	LK16S008_plate2	P3	3.FBp.1	Fullp	Full-B-PMAxx	F-B	Full	Baseline	-12	PMAxx
LK16S008-155	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-155_S59_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-155_S59_L001_R2_001.fastq.gz	LK16S008-155	LKITS005-155	LK16S008_plate2	P3	3.W06.2	Water	Water-06	W-06	Water	6 hr	6	Untreated
LK16S008-156	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-156_S60_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-156_S60_L001_R2_001.fastq.gz	LK16S008-156	LKITS005-156	LK16S008_plate2	P3	3.W06p.2	Waterp	Water-06-PMAxx	W-06	Water	6 hr	6	PMAxx
LK16S008-157	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-157_S61_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-157_S61_L001_R2_001.fastq.gz	LK16S008-157	LKITS005-157	LK16S008_plate2	P3	3.C12.2	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S008-158	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-158_S62_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-158_S62_L001_R2_001.fastq.gz	LK16S008-158	LKITS005-158	LK16S008_plate2	P3	3.C12p.2	CHGp	CHG-12-PMAxx	C-12	CHG	12 hr	12	PMAxx
LK16S008-159	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-159_S63_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-159_S63_L001_R2_001.fastq.gz	LK16S008-159	LKITS005-159	LK16S008_plate2	P3	3.F24.2	Full	Full-24	F-24	Full	24 hr	24	Untreated
LK16S008-160	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-160_S64_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-160_S64_L001_R2_001.fastq.gz	LK16S008-160	LKITS005-160	LK16S008_plate2	P3	3.F24p.2	Fullp	Full-24-PMAxx	F-24	Full	24 hr	24	PMAxx
LK16S008-161	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-161_S65_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-161_S65_L001_R2_001.fastq.gz	LK16S008-161	LKITS005-161	LK16S008_plate2	P3	3.FB.2	Full	Full-B	F-B	Full	Baseline	-12	Untreated
LK16S008-162	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-162_S66_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-162_S66_L001_R2_001.fastq.gz	LK16S008-162	LKITS005-162	LK16S008_plate2	P3	3.FBp.2	Fullp	Full-B-PMAxx	F-B	Full	Baseline	-12	PMAxx
LK16S008-163	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-163_S67_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-163_S67_L001_R2_001.fastq.gz	LK16S008-163	LKITS005-163	LK16S008_plate2	P3	3.W06.3	Water	Water-06	W-06	Water	6 hr	6	Untreated
LK16S008-164	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-164_S68_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-164_S68_L001_R2_001.fastq.gz	LK16S008-164	LKITS005-164	LK16S008_plate2	P3	3.W06p.3	Waterp	Water-06-PMAxx	W-06	Water	6 hr	6	PMAxx
LK16S008-165	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-165_S69_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-165_S69_L001_R2_001.fastq.gz	LK16S008-165	LKITS005-165	LK16S008_plate2	P3	3.C12.3	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S008-166	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-166_S70_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S008/LK16S008-166_S70_L001_R2_001.fastq.gz	LK16S008-166	LKITS005-166	LK16S008_plate2	P3	3.C12p.3	CHGp	CHG-12-PMAxx	C-12	CHG	12 hr	12	PMAxx
