sample-id	forward-absolute-filepath	reverse-absolute-filepath	16S-ID	ITS-ID	Pig	PMAxxSample	PmaxxGroup	Group	TimeGroup	WaterCHG	Timepoint	Time	PMAxx
LK16S005-011	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-011_S11_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-011_S11_L001_R2_001.fastq.gz	LK16S005-011	LK16S005-011	P1	1.W0p.2	Waterp	Water-0-PMAxx	Wp-0	Water	0 hr	0	PMAxx
LK16S005-012	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-012_S12_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-012_S12_L001_R2_001.fastq.gz	LK16S005-012	LK16S005-012	P1	1.W0p.3	Waterp	Water-0-PMAxx	Wp-0	Water	0 hr	0	PMAxx
LK16S005-013	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-013_S13_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-013_S13_L001_R2_001.fastq.gz	LK16S005-013	LK16S005-013	P1	1.C0.1	CHG	CHG-0	C-0	CHG	0 hr	0	Untreated
LK16S005-014	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-014_S14_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-014_S14_L001_R2_001.fastq.gz	LK16S005-014	LK16S005-014	P1	1.C0.2	CHG	CHG-0	C-0	CHG	0 hr	0	Untreated
LK16S005-015	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-015_S15_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-015_S15_L001_R2_001.fastq.gz	LK16S005-015	LK16S005-015	P1	1.C0.3	CHG	CHG-0	C-0	CHG	0 hr	0	Untreated
LK16S005-016	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-016_S16_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-016_S16_L001_R2_001.fastq.gz	LK16S005-016	LK16S005-016	P1	1.C0p.1	CHGp	CHG-0-PMAxx	Cp-0	CHG	0 hr	0	PMAxx
LK16S005-017	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-017_S17_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-017_S17_L001_R2_001.fastq.gz	LK16S005-017	LK16S005-017	P1	1.C0p.2	CHGp	CHG-0-PMAxx	Cp-0	CHG	0 hr	0	PMAxx
LK16S005-018	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-018_S18_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-018_S18_L001_R2_001.fastq.gz	LK16S005-018	LK16S005-018	P1	1.C0p.3	CHGp	CHG-0-PMAxx	Cp-0	CHG	0 hr	0	PMAxx
LK16S005-019	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-019_S19_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-019_S19_L001_R2_001.fastq.gz	LK16S005-019	LK16S005-019	P1	1.F0.1	Full	Full-0	F-0	Full	0 hr	0	Untreated
LK16S005-020	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-020_S20_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-020_S20_L001_R2_001.fastq.gz	LK16S005-020	LK16S005-020	P1	1.F0.2	Full	Full-0	F-0	Full	0 hr	0	Untreated
LK16S005-021	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-021_S21_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-021_S21_L001_R2_001.fastq.gz	LK16S005-021	LK16S005-021	P1	1.F0.3	Full	Full-0	F-0	Full	0 hr	0	Untreated
LK16S005-022	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-022_S22_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-022_S22_L001_R2_001.fastq.gz	LK16S005-022	LK16S005-022	P1	1.F0p.1	Fullp	Full-0-PMAxx	Fp-0	Full	0 hr	0	PMAxx
LK16S005-023	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-023_S23_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-023_S23_L001_R2_001.fastq.gz	LK16S005-023	LK16S005-023	P1	1.F0p.2	Fullp	Full-0-PMAxx	Fp-0	Full	0 hr	0	PMAxx
LK16S005-024	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-024_S24_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-024_S24_L001_R2_001.fastq.gz	LK16S005-024	LK16S005-024	P1	1.F0p.3	Fullp	Full-0-PMAxx	Fp-0	Full	0 hr	0	PMAxx
LK16S005-025	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-025_S25_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-025_S25_L001_R2_001.fastq.gz	LK16S005-025	LK16S005-025	P1	1.W06.1	Water	Water-6	W-6	Water	6 hr	6	Untreated
LK16S005-026	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-026_S26_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-026_S26_L001_R2_001.fastq.gz	LK16S005-026	LK16S005-026	P1	1.W06.2	Water	Water-6	W-6	Water	6 hr	6	Untreated
LK16S005-027	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-027_S27_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-027_S27_L001_R2_001.fastq.gz	LK16S005-027	LK16S005-027	P1	1.W06.3	Water	Water-6	W-6	Water	6 hr	6	Untreated
LK16S005-028	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-028_S28_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-028_S28_L001_R2_001.fastq.gz	LK16S005-028	LK16S005-028	P1	1.W06p.1	Waterp	Water-6-PMAxx	Wp-6	Water	6 hr	6	PMAxx
LK16S005-029	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-029_S29_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-029_S29_L001_R2_001.fastq.gz	LK16S005-029	LK16S005-029	P1	1.W06p.2	Waterp	Water-6-PMAxx	Wp-6	Water	6 hr	6	PMAxx
LK16S005-030	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-030_S30_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-030_S30_L001_R2_001.fastq.gz	LK16S005-030	LK16S005-030	P1	1.W06p.3	Waterp	Water-6-PMAxx	Wp-6	Water	6 hr	6	PMAxx
LK16S005-031	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-031_S31_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-031_S31_L001_R2_001.fastq.gz	LK16S005-031	LK16S005-031	P1	1.C06.1	CHG	CHG-6	C-6	CHG	6 hr	6	Untreated
LK16S005-032	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-032_S32_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-032_S32_L001_R2_001.fastq.gz	LK16S005-032	LK16S005-032	P1	1.C06.2	CHG	CHG-6	C-6	CHG	6 hr	6	Untreated
LK16S005-033	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-033_S33_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-033_S33_L001_R2_001.fastq.gz	LK16S005-033	LK16S005-033	P1	1.C06.3	CHG	CHG-6	C-6	CHG	6 hr	6	Untreated
LK16S005-034	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-034_S34_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-034_S34_L001_R2_001.fastq.gz	LK16S005-034	LK16S005-034	P1	1.C06p.1	CHGp	CHG-6-PMAxx	Cp-6	CHG	6 hr	6	PMAxx
LK16S005-035	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-035_S35_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-035_S35_L001_R2_001.fastq.gz	LK16S005-035	LK16S005-035	P1	1.C06p.2	CHGp	CHG-6-PMAxx	Cp-6	CHG	6 hr	6	PMAxx
LK16S005-036	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-036_S36_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-036_S36_L001_R2_001.fastq.gz	LK16S005-036	LK16S005-036	P1	1.C06p.3	CHGp	CHG-6-PMAxx	Cp-6	CHG	6 hr	6	PMAxx
LK16S005-037	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-037_S37_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-037_S37_L001_R2_001.fastq.gz	LK16S005-037	LK16S005-037	P1	1.F06.1	Full	Full-6	F-6	Full	6 hr	6	Untreated
LK16S005-038	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-038_S38_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-038_S38_L001_R2_001.fastq.gz	LK16S005-038	LK16S005-038	P1	1.F06.2	Full	Full-6	F-6	Full	6 hr	6	Untreated
LK16S005-039	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-039_S39_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-039_S39_L001_R2_001.fastq.gz	LK16S005-039	LK16S005-039	P1	1.F06.3	Full	Full-6	F-6	Full	6 hr	6	Untreated
LK16S005-040	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-040_S40_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-040_S40_L001_R2_001.fastq.gz	LK16S005-040	LK16S005-040	P1	1.F06p.1	Fullp	Full-6-PMAxx	Fp-6	Full	6 hr	6	PMAxx
LK16S005-041	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-041_S41_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-041_S41_L001_R2_001.fastq.gz	LK16S005-041	LK16S005-041	P1	1.F06p.2	Fullp	Full-6-PMAxx	Fp-6	Full	6 hr	6	PMAxx
LK16S005-042	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-042_S42_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-042_S42_L001_R2_001.fastq.gz	LK16S005-042	LK16S005-042	P1	1.F06p.3	Fullp	Full-6-PMAxx	Fp-6	Full	6 hr	6	PMAxx
LK16S005-043	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-043_S43_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-043_S43_L001_R2_001.fastq.gz	LK16S005-043	LK16S005-043	P1	1.W12.1	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S005-044	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-044_S44_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-044_S44_L001_R2_001.fastq.gz	LK16S005-044	LK16S005-044	P1	1.W12.2	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S005-045	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-045_S45_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-045_S45_L001_R2_001.fastq.gz	LK16S005-045	LK16S005-045	P1	1.W12.3	Water	Water-12	W-12	Water	12 hr	12	Untreated
LK16S005-046	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-046_S46_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-046_S46_L001_R2_001.fastq.gz	LK16S005-046	LK16S005-046	P1	1.W12p.1	Waterp	Water-12-PMAxx	Wp-12	Water	12 hr	12	PMAxx
LK16S005-047	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-047_S47_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-047_S47_L001_R2_001.fastq.gz	LK16S005-047	LK16S005-047	P1	1.W12p.2	Waterp	Water-12-PMAxx	Wp-12	Water	12 hr	12	PMAxx
LK16S005-048	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-048_S48_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-048_S48_L001_R2_001.fastq.gz	LK16S005-048	LK16S005-048	P1	1.W12p.3	Waterp	Water-12-PMAxx	Wp-12	Water	12 hr	12	PMAxx
LK16S005-049	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-049_S49_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-049_S49_L001_R2_001.fastq.gz	LK16S005-049	LK16S005-049	P1	1.C12.1	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S005-050	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-050_S50_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-050_S50_L001_R2_001.fastq.gz	LK16S005-050	LK16S005-050	P1	1.C12.2	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S005-051	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-051_S51_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-051_S51_L001_R2_001.fastq.gz	LK16S005-051	LK16S005-051	P1	1.C12.3	CHG	CHG-12	C-12	CHG	12 hr	12	Untreated
LK16S005-052	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-052_S52_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-052_S52_L001_R2_001.fastq.gz	LK16S005-052	LK16S005-052	P1	1.C12p.1	CHGp	CHG-12-PMAxx	Cp-12	CHG	12 hr	12	PMAxx
LK16S005-053	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-053_S53_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-053_S53_L001_R2_001.fastq.gz	LK16S005-053	LK16S005-053	P1	1.C12p.2	CHGp	CHG-12-PMAxx	Cp-12	CHG	12 hr	12	PMAxx
LK16S005-054	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-054_S54_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-054_S54_L001_R2_001.fastq.gz	LK16S005-054	LK16S005-054	P1	1.C12p.3	CHGp	CHG-12-PMAxx	Cp-12	CHG	12 hr	12	PMAxx
LK16S005-055	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-055_S55_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-055_S55_L001_R2_001.fastq.gz	LK16S005-055	LK16S005-055	P1	1.F12.1	Full	Full-12	F-12	Full	12 hr	12	Untreated
LK16S005-056	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-056_S56_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-056_S56_L001_R2_001.fastq.gz	LK16S005-056	LK16S005-056	P1	1.F12.2	Full	Full-12	F-12	Full	12 hr	12	Untreated
LK16S005-057	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-057_S57_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-057_S57_L001_R2_001.fastq.gz	LK16S005-057	LK16S005-057	P1	1.F12.3	Full	Full-12	F-12	Full	12 hr	12	Untreated
LK16S005-058	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-058_S58_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-058_S58_L001_R2_001.fastq.gz	LK16S005-058	LK16S005-058	P1	1.F12p.1	Fullp	Full-12-PMAxx	Fp-12	Full	12 hr	12	PMAxx
LK16S005-059	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-059_S59_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-059_S59_L001_R2_001.fastq.gz	LK16S005-059	LK16S005-059	P1	1.F12p.2	Fullp	Full-12-PMAxx	Fp-12	Full	12 hr	12	PMAxx
LK16S005-060	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-060_S60_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-060_S60_L001_R2_001.fastq.gz	LK16S005-060	LK16S005-060	P1	1.F12p.3	Fullp	Full-12-PMAxx	Fp-12	Full	12 hr	12	PMAxx
LK16S005-061	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-061_S61_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-061_S61_L001_R2_001.fastq.gz	LK16S005-061	LK16S005-061	P1	1.W24.1	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S005-062	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-062_S62_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-062_S62_L001_R2_001.fastq.gz	LK16S005-062	LK16S005-062	P1	1.W24.2	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S005-063	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-063_S63_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-063_S63_L001_R2_001.fastq.gz	LK16S005-063	LK16S005-063	P1	1.W24.3	Water	Water-24	W-24	Water	24 hr	24	Untreated
LK16S005-064	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-064_S64_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-064_S64_L001_R2_001.fastq.gz	LK16S005-064	LK16S005-064	P1	1.W24p.1	Waterp	Water-24-PMAxx	Wp-24	Water	24 hr	24	PMAxx
LK16S005-065	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-065_S65_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-065_S65_L001_R2_001.fastq.gz	LK16S005-065	LK16S005-065	P1	1.W24p.2	Waterp	Water-24-PMAxx	Wp-24	Water	24 hr	24	PMAxx
LK16S005-066	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-066_S66_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-066_S66_L001_R2_001.fastq.gz	LK16S005-066	LK16S005-066	P1	1.W24p.3	Waterp	Water-24-PMAxx	Wp-24	Water	24 hr	24	PMAxx
LK16S005-067	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-067_S67_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-067_S67_L001_R2_001.fastq.gz	LK16S005-067	LK16S005-067	P1	1.C24.1	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S005-068	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-068_S68_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-068_S68_L001_R2_001.fastq.gz	LK16S005-068	LK16S005-068	P1	1.C24.2	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S005-069	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-069_S69_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-069_S69_L001_R2_001.fastq.gz	LK16S005-069	LK16S005-069	P1	1.C24.3	CHG	CHG-24	C-24	CHG	24 hr	24	Untreated
LK16S005-070	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-070_S70_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-070_S70_L001_R2_001.fastq.gz	LK16S005-070	LK16S005-070	P1	1.C24p.1	CHGp	CHG-24-PMAxx	Cp-24	CHG	24 hr	24	PMAxx
LK16S005-071	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-071_S71_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-071_S71_L001_R2_001.fastq.gz	LK16S005-071	LK16S005-071	P1	1.C24p.2	CHGp	CHG-24-PMAxx	Cp-24	CHG	24 hr	24	PMAxx
LK16S005-072	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-072_S72_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-072_S72_L001_R2_001.fastq.gz	LK16S005-072	LK16S005-072	P1	1.C24p.3	CHGp	CHG-24-PMAxx	Cp-24	CHG	24 hr	24	PMAxx
LK16S005-073	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-073_S73_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-073_S73_L001_R2_001.fastq.gz	LK16S005-073	LK16S005-073	P1	1.F24.1	Full	Full-24	F-24	Full	24 hr	24	Untreated
LK16S005-074	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-074_S74_L001_R1_001.fastq.gz	/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S005/LK16S005-074_S74_L001_R2_001.fastq.gz	LK16S005-074	LK16S005-074	P1	1.F24.2	Full	Full-24	F-24	Full	24 hr	24	Untreated
