Pig,Plate,WellPosition,SampleName,Group,Group2,Replicate,Treatment,Treatment2,Timepoint,Time ,CT,CtMean,CtSD,Quantity,QuantityMean,QuantitySD,TotalBacteria,TotalMeanBacteria,WellPositionP,SampleNameP,CTp,CtMeanP,CtPSD,QuantityP,QuantityMeanP,QuantitySDP,ViableBacteria,ViableMeanBacteria,DeltaCT,PercentLive
1,Plate1,L9,W-48-1,Water-48hr,Water-48hr,1,Water,Water,48hr,48.00,12.12,12.29,0.17,56378.50,49669.55,639.35,338271000.00,298017300.00,L12,Wp-48-1,12.37,12.53,0.14,46934.00,41583.88,452.27,281604000.00,249503280.00,0.24,0.84
1,Plate1,L10,W-48-1,Water-48hr,Water-48hr,1,Water,Water,48hr,48.00,12.29,12.29,0.17,49866.12,49669.55,639.35,299196720.00,298017300.00,L13,Wp-48-1,12.63,12.53,0.14,38643.95,41583.88,452.27,231863700.00,249503280.00,0.24,0.84
1,Plate1,L11,W-48-1,Water-48hr,Water-48hr,1,Water,Water,48hr,48.00,12.47,12.29,0.17,43586.51,49669.55,639.35,261519060.00,298017300.00,L14,Wp-48-1,12.60,12.53,0.14,39646.60,41583.88,452.27,237879600.00,249503280.00,0.24,0.84
1,Plate1,M9,W-48-2,Water-48hr,Water-48hr,2,Water,Water,48hr,48.00,11.81,12.58,0.68,71204.82,40297.86,2371.34,427228920.00,241787160.00,M12,Wp-48-2,13.36,13.11,0.26,22520.67,27081.81,537.26,135124020.00,162490860.00,0.54,0.67
1,Plate1,M10,W-48-2,Water-48hr,Water-48hr,2,Water,Water,48hr,48.00,12.82,12.58,0.68,33640.87,40297.86,2371.34,201845220.00,241787160.00,M13,Wp-48-2,13.13,13.11,0.26,26587.71,27081.81,537.26,159526260.00,162490860.00,0.54,0.67
1,Plate1,M11,W-48-2,Water-48hr,Water-48hr,2,Water,Water,48hr,48.00,13.10,12.58,0.68,27319.32,40297.86,2371.34,163915920.00,241787160.00,M14,Wp-48-2,12.84,13.11,0.26,33171.95,27081.81,537.26,199031700.00,162490860.00,0.54,0.67
1,Plate1,N9,W-48-3,Water-48hr,Water-48hr,3,Water,Water,48hr,48.00,13.62,13.66,0.10,18583.21,17974.79,136.27,111499260.00,107848740.00,N12,Wp-48-3,13.93,13.80,0.15,14785.30,16189.84,179.96,88711800.00,97139040.00,0.14,0.90
1,Plate1,N10,W-48-3,Water-48hr,Water-48hr,3,Water,Water,48hr,48.00,13.78,13.66,0.10,16453.86,17974.79,136.27,98723160.00,107848740.00,N13,Wp-48-3,13.84,13.80,0.15,15715.42,16189.84,179.96,94292520.00,97139040.00,0.14,0.90
1,Plate1,N11,W-48-3,Water-48hr,Water-48hr,3,Water,Water,48hr,48.00,13.59,13.66,0.10,18993.41,17974.79,136.27,113960460.00,107848740.00,N14,Wp-48-3,13.64,13.80,0.15,18262.95,16189.84,179.96,109577700.00,97139040.00,0.14,0.90
1,Plate1,C17,C-PB-1,Chloroprep-0hr,Chloroprep-0hr,1,Chloroprep,Chloroprep,0hr,0.00,20.88,20.56,0.31,84.24,107.22,2.42,505464.00,643326.00,C20,Cp-PB-1,27.50,27.55,0.04,0.62,0.60,0.00,3702.00,3582.00,6.99,0.01
1,Plate1,C18,C-PB-1,Chloroprep-0hr,Chloroprep-0hr,1,Chloroprep,Chloroprep,0hr,0.00,20.52,20.56,0.31,110.33,107.22,2.42,661980.00,643326.00,C21,Cp-PB-1,27.56,27.55,0.04,0.59,0.60,0.00,3546.00,3582.00,6.99,0.01
1,Plate1,C19,C-PB-1,Chloroprep-0hr,Chloroprep-0hr,1,Chloroprep,Chloroprep,0hr,0.00,20.27,20.56,0.31,132.62,107.22,2.42,795726.00,643326.00,C22,Cp-PB-1,27.58,27.55,0.04,0.58,0.60,0.00,3504.00,3582.00,6.99,0.01
1,Plate1,D17,C-PB-2,Chloroprep-0hr,Chloroprep-0hr,2,Chloroprep,Chloroprep,0hr,0.00,22.12,22.25,0.12,33.71,30.45,0.28,202260.00,182688.00,D20,Cp-PB-2,25.65,26.07,0.42,2.43,1.78,0.06,14598.00,10704.00,3.82,0.06
1,Plate1,D18,C-PB-2,Chloroprep-0hr,Chloroprep-0hr,2,Chloroprep,Chloroprep,0hr,0.00,22.33,22.25,0.12,28.78,30.45,0.28,172674.00,182688.00,D21,Cp-PB-2,26.07,26.07,0.42,1.79,1.78,0.06,10722.00,10704.00,3.82,0.06
1,Plate1,D19,C-PB-2,Chloroprep-0hr,Chloroprep-0hr,2,Chloroprep,Chloroprep,0hr,0.00,22.31,22.25,0.12,29.10,30.45,0.28,174582.00,182688.00,D22,Cp-PB-2,26.49,26.07,0.42,1.31,1.78,0.06,7830.00,10704.00,3.82,0.06
1,Plate1,E17,C-PB-3,Chloroprep-0hr,Chloroprep-0hr,3,Chloroprep,Chloroprep,0hr,0.00,19.72,19.72,0.02,199.13,200.23,0.28,1194774.00,1201356.00,E20,Cp-PB-3,27.93,27.70,0.20,0.45,0.53,0.01,2688.00,3186.00,7.99,0.00
1,Plate1,E18,C-PB-3,Chloroprep-0hr,Chloroprep-0hr,3,Chloroprep,Chloroprep,0hr,0.00,19.73,19.72,0.02,198.13,200.23,0.28,1188780.00,1201356.00,E21,Cp-PB-3,27.62,27.70,0.20,0.57,0.53,0.01,3402.00,3186.00,7.99,0.00
1,Plate1,E19,C-PB-3,Chloroprep-0hr,Chloroprep-0hr,3,Chloroprep,Chloroprep,0hr,0.00,19.70,19.72,0.02,203.46,200.23,0.28,1220760.00,1201356.00,E22,Cp-PB-3,27.56,27.70,0.20,0.59,0.53,0.01,3534.00,3186.00,7.99,0.00
1,Plate1,F17,C-24-1,Chloroprep-24hr,Chloroprep-24hr,1,Chloroprep,Chloroprep,24hr,24.00,22.52,22.64,0.14,24.98,22.81,0.23,149856.00,136848.00,F20,Cp-24-1,24.46,24.03,0.38,5.89,8.12,0.22,35358.00,48702.00,1.39,0.36
1,Plate1,F18,C-24-1,Chloroprep-24hr,Chloroprep-24hr,1,Chloroprep,Chloroprep,24hr,24.00,22.79,22.64,0.14,20.41,22.81,0.23,122466.00,136848.00,F21,Cp-24-1,23.75,24.03,0.38,10.04,8.12,0.22,60222.00,48702.00,1.39,0.36
1,Plate1,F19,C-24-1,Chloroprep-24hr,Chloroprep-24hr,1,Chloroprep,Chloroprep,24hr,24.00,22.61,22.64,0.14,23.27,22.81,0.23,139644.00,136848.00,F22,Cp-24-1,23.89,24.03,0.38,9.04,8.12,0.22,54252.00,48702.00,1.39,0.36
1,Plate1,G17,C-24-2,Chloroprep-24hr,Chloroprep-24hr,2,Chloroprep,Chloroprep,24hr,24.00,22.57,22.72,0.19,24.00,21.59,0.29,143988.00,129552.00,G20,Cp-24-2,24.29,24.01,0.27,6.68,8.28,0.17,40092.00,49698.00,1.29,0.38
1,Plate1,G18,C-24-2,Chloroprep-24hr,Chloroprep-24hr,2,Chloroprep,Chloroprep,24hr,24.00,22.64,22.72,0.19,22.77,21.59,0.29,136632.00,129552.00,G21,Cp-24-2,23.75,24.01,0.27,10.02,8.28,0.17,60132.00,49698.00,1.29,0.38
1,Plate1,G19,C-24-2,Chloroprep-24hr,Chloroprep-24hr,2,Chloroprep,Chloroprep,24hr,24.00,22.93,22.72,0.19,18.42,21.59,0.29,110526.00,129552.00,G22,Cp-24-2,23.97,24.01,0.27,8.48,8.28,0.17,50904.00,49698.00,1.29,0.38
1,Plate1,H18,C-24-3,Chloroprep-24hr,Chloroprep-24hr,3,Chloroprep,Chloroprep,24hr,24.00,23.69,23.93,0.34,10.44,8.73,0.22,62640.00,52380.00,H20,Cp-24-3,29.58,26.09,3.04,0.13,1.76,0.40,792.00,10548.00,2.16,0.20
1,Plate1,H19,C-24-3,Chloroprep-24hr,Chloroprep-24hr,3,Chloroprep,Chloroprep,24hr,24.00,24.18,23.93,0.34,7.30,8.73,0.22,43800.00,52380.00,H21,Cp-24-3,24.67,26.09,3.04,5.06,1.76,0.40,30378.00,10548.00,2.16,0.20
1,Plate1,,,Chloroprep-24hr,Chloroprep-24hr,,Chloroprep,Chloroprep,24hr,24.00,,,,,,,,,H22,Cp-24-3,24.03,26.09,3.04,8.15,1.76,0.40,48888.00,10548.00,,
1,Plate1,I17,F-PB-1,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.38,19.59,0.20,256.70,220.59,3.30,1540182.00,1323528.00,I20,Fp-PB-1,25.67,25.88,0.19,2.41,2.06,0.03,14460.00,12336.00,6.29,0.01
1,Plate1,I18,F-PB-1,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.60,19.59,0.20,218.91,220.59,3.30,1313472.00,1323528.00,I21,Fp-PB-1,25.94,25.88,0.19,1.96,2.06,0.03,11772.00,12336.00,6.29,0.01
1,Plate1,I19,F-PB-1,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.78,19.59,0.20,191.01,220.59,3.30,1146054.00,1323528.00,I22,Fp-PB-1,26.03,25.88,0.19,1.84,2.06,0.03,11028.00,12336.00,6.29,0.01
1,Plate1,J17,F-PB-2,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,18.67,18.92,0.22,436.97,362.95,6.13,2621790.00,2177706.00,J20,Fp-PB-2,25.39,25.42,0.04,2.96,2.89,0.01,17766.00,17322.00,6.51,0.01
1,Plate1,J18,F-PB-2,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.04,18.92,0.22,330.20,362.95,6.13,1981188.00,2177706.00,J21,Fp-PB-2,25.42,25.42,0.04,2.90,2.89,0.01,17382.00,17322.00,6.51,0.01
1,Plate1,J19,F-PB-2,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.04,18.92,0.22,331.38,362.95,6.13,1988274.00,2177706.00,J22,Fp-PB-2,25.46,25.42,0.04,2.81,2.89,0.01,16830.00,17322.00,6.51,0.01
1,Plate1,K17,F-PB-3,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,17.73,18.60,0.84,873.21,458.87,31.86,5239254.00,2753232.00,K20,Fp-PB-3,24.70,24.92,0.32,4.95,4.19,0.09,29712.00,25122.00,6.32,0.01
1,Plate1,K18,F-PB-3,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,18.66,18.60,0.84,439.84,458.87,31.86,2639046.00,2753232.00,K21,Fp-PB-3,25.28,24.92,0.32,3.21,4.19,0.09,19236.00,25122.00,6.32,0.01
1,Plate1,K19,F-PB-3,CHG Bath (x2) + Chloroprep-0hr,CHG Bath (x2) + Chloroprep-0hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,0hr,0.00,19.41,18.60,0.84,251.57,458.87,31.86,1509426.00,2753232.00,K22,Fp-PB-3,24.79,24.92,0.32,4.62,4.19,0.09,27738.00,25122.00,6.32,0.01
1,Plate1,L17,F-24-1,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,24.41,24.44,0.19,6.12,6.00,0.08,36726.00,36012.00,L20,Fp-24-1,27.43,27.24,0.17,0.65,0.75,0.01,3918.00,4500.00,2.80,0.12
1,Plate1,L18,F-24-1,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,24.64,24.44,0.19,5.19,6.00,0.08,31116.00,36012.00,L21,Fp-24-1,27.18,27.24,0.17,0.78,0.75,0.01,4686.00,4500.00,2.80,0.12
1,Plate1,L19,F-24-1,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,1,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,24.27,24.44,0.19,6.81,6.00,0.08,40872.00,36012.00,L22,Fp-24-1,27.11,27.24,0.17,0.83,0.75,0.01,4962.00,4500.00,2.80,0.12
1,Plate1,M17,F-24-2,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,24.10,23.99,0.10,7.72,8.39,0.06,46326.00,50322.00,M20,Fp-24-2,26.77,26.61,0.15,1.06,1.19,0.01,6360.00,7164.00,2.62,0.14
1,Plate1,M18,F-24-2,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,23.90,23.99,0.10,8.97,8.39,0.06,53802.00,50322.00,M21,Fp-24-2,26.47,26.61,0.15,1.32,1.19,0.01,7944.00,7164.00,2.62,0.14
1,Plate1,M19,F-24-2,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,2,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,23.97,23.99,0.10,8.52,8.39,0.06,51132.00,50322.00,M22,Fp-24-2,26.59,26.61,0.15,1.21,1.19,0.01,7284.00,7164.00,2.62,0.14
1,Plate1,N17,F-24-3,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,23.78,23.98,0.20,9.82,8.46,0.13,58944.00,50772.00,N20,Fp-24-3,27.15,27.17,0.25,0.80,0.79,0.01,4794.00,4728.00,3.20,0.09
1,Plate1,N18,F-24-3,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,24.17,23.98,0.20,7.33,8.46,0.13,43962.00,50772.00,N21,Fp-24-3,26.94,27.17,0.25,0.94,0.79,0.01,5634.00,4728.00,3.20,0.09
1,Plate1,N19,F-24-3,CHG Bath (x2) + Chloroprep-24hr,CHG Bath (x2) + Chloroprep-24hr,3,CHG Bath (x2) + Chloroprep,CHG Bath (x2) + Chloroprep,24hr,24.00,23.98,23.98,0.20,8.42,8.46,0.13,50514.00,50772.00,N22,Fp-24-3,27.43,27.17,0.25,0.65,0.79,0.01,3906.00,4728.00,3.20,0.09
1,Plate1,K3,NegEX,NegEX-,NegEX-,,NegEX,NegEX,,,28.51,28.52,0.10,0.03,0.03,0.00,,174.00,,,,,,,,,,,,
1,Plate1,K4,NegEX,NegEX-,NegEX-,,NegEX,NegEX,,,28.62,28.52,0.10,0.03,0.03,0.00,,174.00,,,,,,,,,,,,
1,Plate1,K5,NegEX,NegEX-,NegEX-,,NegEX,NegEX,,,28.42,28.52,0.10,0.03,0.03,0.00,,174.00,,,,,,,,,,,,
1,Plate2,C3,W-6-A,Water-6hr,Water-6hr,A,Water,Water,6hr,6.00,14.02,13.73,0.25,20150.11,25958.60,5227.48,120900660.00,155751600.00,C6,Wp-6-A,14.66,14.73,0.06,11793.26,11119.82,587.81,70759560.00,66718920.00,1.00,0.43
1,Plate2,C4,W-6-A,Water-6hr,Water-6hr,A,Water,Water,6hr,6.00,13.65,13.73,0.25,27440.67,25958.60,5227.48,164644020.00,155751600.00,C7,Wp-6-A,14.76,14.73,0.06,10856.49,11119.82,587.81,65138940.00,66718920.00,1.00,0.43
1,Plate2,C5,W-6-A,Water-6hr,Water-6hr,A,Water,Water,6hr,6.00,13.53,13.73,0.25,30285.03,25958.60,5227.48,181710180.00,155751600.00,C8,Wp-6-A,14.77,14.73,0.06,10709.73,11119.82,587.81,64258380.00,66718920.00,1.00,0.43
1,Plate2,D3,W-6-B,Water-6hr,Water-6hr,B,Water,Water,6hr,6.00,14.60,14.68,0.12,12312.64,11614.70,1093.15,73875840.00,69688200.00,D6,Wp-6-B,15.15,15.18,0.03,7770.96,7577.98,169.23,46625760.00,45467880.00,0.51,0.65
1,Plate2,D4,W-6-B,Water-6hr,Water-6hr,B,Water,Water,6hr,6.00,14.62,14.68,0.12,12176.58,11614.70,1093.15,73059480.00,69688200.00,D7,Wp-6-B,15.20,15.18,0.03,7508.06,7577.98,169.23,45048360.00,45467880.00,0.51,0.65
1,Plate2,D5,W-6-B,Water-6hr,Water-6hr,B,Water,Water,6hr,6.00,14.81,14.68,0.12,10354.89,11614.70,1093.15,62129340.00,69688200.00,D8,Wp-6-B,15.20,15.18,0.03,7454.92,7577.98,169.23,44729520.00,45467880.00,0.51,0.65
1,Plate2,E3,W-6-C,Water-6hr,Water-6hr,C,Water,Water,6hr,6.00,15.37,15.35,0.02,6498.04,6621.78,107.47,38988240.00,39730680.00,E6,Wp-6-C,15.10,15.26,0.16,8101.35,7152.19,960.05,48608100.00,42913140.00,-0.09,1.08
1,Plate2,E4,W-6-C,Water-6hr,Water-6hr,C,Water,Water,6hr,6.00,15.34,15.35,0.02,6675.64,6621.78,107.47,40053840.00,39730680.00,E7,Wp-6-C,15.43,15.26,0.16,6181.61,7152.19,960.05,37089660.00,42913140.00,-0.09,1.08
1,Plate2,E5,W-6-C,Water-6hr,Water-6hr,C,Water,Water,6hr,6.00,15.33,15.35,0.02,6691.67,6621.78,107.47,40150020.00,39730680.00,E8,Wp-6-C,15.25,15.26,0.16,7173.62,7152.19,960.05,43041720.00,42913140.00,-0.09,1.08
1,Plate2,C10,C-6-A,Chloroprep-6hr,Chloroprep-6hr,A,Chloroprep,Chloroprep,6hr,6.00,21.39,21.38,0.06,41.82,42.19,2.25,250896.00,253158.00,C13,Cp-6-A,26.39,26.41,0.03,0.63,0.62,0.01,3792.00,3732.00,5.03,0.01
1,Plate2,C11,C-6-A,Chloroprep-6hr,Chloroprep-6hr,A,Chloroprep,Chloroprep,6hr,6.00,21.31,21.38,0.06,44.61,42.19,2.25,267630.00,253158.00,C14,Cp-6-A,26.44,26.41,0.03,0.61,0.62,0.01,3630.00,3732.00,5.03,0.01
1,Plate2,C12,C-6-A,Chloroprep-6hr,Chloroprep-6hr,A,Chloroprep,Chloroprep,6hr,6.00,21.44,21.38,0.06,40.16,42.19,2.25,240942.00,253158.00,C15,Cp-6-A,26.40,26.41,0.03,0.63,0.62,0.01,3762.00,3732.00,5.03,0.01
1,Plate2,D10,C-6-B,Chloroprep-6hr,Chloroprep-6hr,B,Chloroprep,Chloroprep,6hr,6.00,20.56,20.59,0.03,83.55,81.65,1.89,501318.00,489906.00,D13,Cp-6-B,26.10,26.07,0.03,0.80,0.83,0.02,4824.00,4950.00,5.48,0.01
1,Plate2,D11,C-6-B,Chloroprep-6hr,Chloroprep-6hr,B,Chloroprep,Chloroprep,6hr,6.00,20.59,20.59,0.03,81.63,81.65,1.89,489804.00,489906.00,D14,Cp-6-B,26.04,26.07,0.03,0.85,0.83,0.02,5070.00,4950.00,5.48,0.01
1,Plate2,D12,C-6-B,Chloroprep-6hr,Chloroprep-6hr,B,Chloroprep,Chloroprep,6hr,6.00,20.62,20.59,0.03,79.77,81.65,1.89,478602.00,489906.00,D15,Cp-6-B,26.07,26.07,0.03,0.83,0.83,0.02,4956.00,4950.00,5.48,0.01
